date_id,category,forecast_revenue,forecast_lower,forecast_upper
2023-01-01,Apparel,899091.2036607871,692061.4760563241,1114986.0424099765
2023-01-02,Apparel,478860.7312599809,267735.6416726656,701074.4370994281
2023-01-03,Apparel,490883.91375061235,275168.58237741824,699628.0822925911
2023-01-04,Apparel,477060.1511583184,272363.5653849631,692975.0131916333
2023-01-05,Apparel,475939.03912188474,248476.1194037978,692442.1182608079
2023-01-06,Apparel,471092.8773122993,266985.4933574403,687995.131139279
2023-01-07,Apparel,871375.4551357115,643398.0617122,1081205.4633869058
2023-01-08,Apparel,878934.7913577894,665786.3726304218,1093822.885124478
2023-01-09,Apparel,458629.98611088685,248151.40228524178,680699.7788527836
2023-01-10,Apparel,471714.6729885819,247744.43822567508,685132.2754127427
2023-01-11,Apparel,460060.01752064796,252141.16496054587,670599.8568000066
2023-01-12,Apparel,462143.01696287876,255078.78000296504,664659.078958225
2023-01-13,Apparel,461421.94675390265,249304.40362307563,671065.9195264046
2023-01-14,Apparel,866598.9553306724,648168.6251576641,1080997.6078748237
2023-01-15,Apparel,879638.7904591223,662099.6983144816,1091477.2528237556
2023-01-16,Apparel,465191.06023756735,257844.9568511075,701980.7712006879
2023-01-17,Apparel,484280.7959670214,268503.84535383654,695134.5273567288
2023-01-18,Apparel,478540.2788915556,282937.7649593698,696531.7972816012
2023-01-19,Apparel,486204.747956971,286218.445467557,703799.1559962095
2023-01-20,Apparel,490496.4905384209,277769.0519078269,720284.5680647112
2023-01-21,Apparel,899895.5157030035,695877.1575923356,1108137.2845157485
2023-01-22,Apparel,916166.966142378,703608.5521273164,1128832.935540137
2023-01-23,Apparel,503789.82895375026,289506.3299226278,735642.5673823754
2023-01-24,Apparel,523653.9529186945,316244.7343887778,733658.5872376258
2023-01-25,Apparel,517298.3606930164,300158.7074885888,740402.6328558718
2023-01-26,Apparel,522910.39580711705,313888.84223461495,746707.5455378534
2023-01-27,Apparel,523712.97149898985,302117.8907601441,738999.9653180273
2023-01-28,Apparel,928236.4724935878,717875.0472883258,1137135.1353603576
2023-01-29,Apparel,938346.8332404831,734882.4050941223,1156858.1726663748
2023-01-30,Apparel,518671.7393936873,302427.3625465354,721349.6798602665
2023-01-31,Apparel,530294.4594222477,316670.20099519583,731650.5696788764
2023-02-01,Apparel,514988.60047625453,304747.7830042003,714978.1736698857
2023-02-02,Apparel,511210.54480175296,284203.23616182327,729950.9724888516
